tmp_script.js: line 723, col 63, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 726, col 21, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 727, col 21, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 728, col 21, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 734, col 65, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 740, col 43, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 751, col 140, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 755, col 56, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 756, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 757, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 758, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 761, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 761, col 56, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 764, col 21, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 765, col 21, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 766, col 21, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 769, col 66, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 770, col 25, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 773, col 25, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 783, col 66, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 792, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 794, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 795, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 795, col 49, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 795, col 69, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 796, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 796, col 81, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 797, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 797, col 40, 'spread operator' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 797, col 77, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 798, col 44, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 799, col 21, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 807, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 809, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 816, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 821, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 830, col 34, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 831, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 859, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 870, col 9, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 871, col 9, 'async functions' is only available in ES8 (use 'esversion: 8').
tmp_script.js: line 875, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 880, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 894, col 51, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 896, col 25, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 897, col 25, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 898, col 25, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 899, col 25, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 900, col 25, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 901, col 25, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 902, col 25, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 903, col 25, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 906, col 25, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 937, col 53, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 938, col 29, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 942, col 33, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 943, col 50, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 948, col 52, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 957, col 33, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 963, col 33, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 966, col 47, 'async functions' is only available in ES8 (use 'esversion: 8').
tmp_script.js: line 966, col 55, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 968, col 37, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 980, col 33, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 981, col 33, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 982, col 52, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 994, col 25, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 995, col 25, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 999, col 42, 'async functions' is only available in ES8 (use 'esversion: 8').
tmp_script.js: line 999, col 50, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 1014, col 39, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 1036, col 9, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 1039, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 1045, col 9, 'async functions' is only available in ES8 (use 'esversion: 8').
tmp_script.js: line 1052, col 9, 'async functions' is only available in ES8 (use 'esversion: 8').
tmp_script.js: line 1053, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 1053, col 54, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 1056, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 1069, col 9, 'async functions' is only available in ES8 (use 'esversion: 8').
tmp_script.js: line 1070, col 26, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 1072, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 1072, col 52, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 1076, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 1076, col 49, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 1080, col 23, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 1087, col 9, 'async functions' is only available in ES8 (use 'esversion: 8').
tmp_script.js: line 1088, col 26, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 1090, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 1090, col 52, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 1093, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 1093, col 49, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 1097, col 23, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 1104, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 1108, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 1108, col 73, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
tmp_script.js: line 1109, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 1109, col 68, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
tmp_script.js: line 1110, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 1110, col 64, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
